i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
i love the size of the computer since i play games on it .|||O O O B-AP O O O O O O B-AP O O O
you know , using the computer should be fun , not aggrevation , especially when you are playing games or working with photos .|||O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O
there are no viruses or spyware to worry about like on a windows computer .|||O O O O O O O O O O O O B-AP O O
to be honest i think it was faulty equipment or something but idk .|||O O O O O O O O B-AP O O O O O
i also love the small , convenient size of my laptop , making it a perfect tool for my academic studies .|||O O O O O O O B-AP O O O O O O O O O O O O O O
i love its solid build , light wt and excellent battery life for now .|||O O O O B-AP O O B-AP O O B-AP I-AP O O O
while about 8 years ago , i hope that the quality has changed .|||O O O O O O O O O O B-AP O O O
the difference is it 's a whole lot of fun using the laptop now , still learning the apple navigation , but is fun and comes with a lot of cool apps .|||O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O B-AP O
-i propose that i can just swap the hard drives .|||O O O O O O O O B-AP I-AP O
the battery holds up well , it 's built very solidly , and runs fast .|||O B-AP O O O O O O B-AP O O O O B-AP O O
sound card is limited though .|||B-AP I-AP O O O O
this is a nicely sized laptop with lots of processing power and long battery life .|||O O O O B-AP O O O O B-AP I-AP O O B-AP I-AP O
the only thing i can imagine is that sony jumped on early specifications for vista requirements from microsoft and designed it to those inadequate requirements .|||O O O O O O O O O O O O O O B-AP O O O O O O O O O O O
the keyboard , which generally felt okay even for someone used to a desktop keyboard , now looks terrible .|||O B-AP O O O O O O O O O O O O B-AP O O O O O
the display is awesome .|||O B-AP O O O
the mouse is a little bit different than what you 're used to though it has one big flat panel and one full bar instead of two separate ones to click with but you get used to it quite quickly .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it took several weeks just to get them to acknowledge that i owned the warranty .|||O O O O O O O O O O O O O O B-AP O
the keyboard is like no other laptop keyboard .|||O B-AP O O O O O B-AP O
-computer crashed frequently and battery life decreased very quickly .|||O O O O B-AP I-AP O O O O
-i propose that they can just swap the hard drives .|||O O O O O O O O B-AP I-AP O
every driver on the driver dvd is everything you will need for a reload .|||O B-AP O O B-AP O O O O O O O O O O
i called their repair depot as was told they would send me a new box to return the computer to the repair depot .|||O O O B-AP I-AP O O O O O O O O O O O O O O O O B-AP I-AP O
it 's also fairly easy to use the operating system .|||O O O O O O O O B-AP I-AP O
i know that asus is known for making motherboards , but this is the worst computer experience that i have ever had .|||O O O O O O O O B-AP O O O O O O O O O O O O O O
we figure that after everything his pc actually ended up costing $ 350 more than my original mac .|||O O O O O O O O O O B-AP O O O O O O O O
so having the ac plug go out on me and get lose or i could actually here it inside my computer on two of the three times is not good .|||O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O
peformance is good for the price .|||B-AP O O O O B-AP O
the computer is currently in west verginia doe to the method of shipping choosen by toshiba .|||O O O O O O O O O O O O B-AP O O O O
summary , hp knew they were shipping out bad bios and did nothing proactive to resolve it .|||O O O O O O O O O B-AP O O O O O O O O
i had 3 months when the ports started going out .|||O O O O O O B-AP O O O O
the improvements to the os have been relatively gradual , but substantive .|||O O O O B-AP O O O O O O O O
it is super easy to use .|||O O O O O B-AP O
many of my classmates computers hard drives crashed .|||O O O O O B-AP I-AP O O
ease of use is just one of the benefits i love about my mac .|||O O B-AP O O O O O O O O O O O O
i would n't play a first-person shooter with this , mind , but if you wanted to run ms office , email , chat , download a video , listen to music from a certain fruit-named music store , and were looking for a highly portable yet powerful netbook to do that all in , i 'd highly recommend checking this out .|||O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the 13 macbook pro just fits in my budget and with free shipping and no tax to ca this is the best price we can get for a great product .|||O O O O O O O O B-AP O O O B-AP O O O O O O O O O B-AP O O O O O O O O
the sheer power and flexibility makes the macbook pro a must have for any techie !|||O O B-AP O B-AP O O O O O O O O O O O
the notebook is lacking a hdmi port and a s-video port that would enable one to hook it to a tv .|||O O O O O B-AP I-AP O O B-AP I-AP O O O O O O O O O O O
the speakers on it are useless too .|||O B-AP O O O O O O
battery is lasting about 6 hours as i am surfing the web on sundays while checking football scores and watching funny youtube videos .|||B-AP O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O
iphoto is great for adding pictures right to facebook and other social networking sites .|||B-AP O O O O O O O O O O O O O O
in early may i got it back and this time i only had it back for 1 day before it had a new issue so it was sent back in for the 6th time they expedited the repairs so i was only supposed to have to be without it for 3 days and it was supposed to be fixed , by a senior tech .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
some features arent friendly volume wheel , sound quality , etc .|||O B-AP O O B-AP I-AP O B-AP I-AP O O O
a cheaper price should not equal a cheap product .|||O O B-AP O O O O O O O
i think the manual is somewhere on the hard drive , but i rather have a hard copy .|||O O O B-AP O O O O B-AP I-AP O O O O O O O O O
thank you best buy for putting my computer together and installing my first software , you guys were great too !|||O O O O O O O O O O O O O B-AP O O O O O O O
adjust the sensitivity since it 's not that responsive to begin with .|||O O B-AP O O O O O O O O O O
after a couple of years , my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery .|||O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O B-AP O
the system constantly overheats , the battery life is too short , the case is coming apart , and my core applications that i use every day in my work as a graphic artist run poorly .|||O B-AP O O O O B-AP I-AP O O O O O B-AP O O O O O O B-AP I-AP O O O O O O O O O O O O O O O
later it held zero charge and its replacement worked for less than three months .|||O O O O B-AP O O O O O O O O O O
the company sent me a whole new cord overnight and apologized .|||O O O O O O O B-AP O O O O
it 's even easy to hook up to other wireless networks .|||O O O O O B-AP I-AP I-AP I-AP I-AP I-AP O
also , i have had alot of trouble with the shift key to go to other lines .|||O O O O O O O O O O B-AP I-AP O O O O O O
the rep did not even answer my question , i had to ask him , if he understood what i ask or if he spoke english because he did n't even try to acknowledge my question .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it gives me the power and speed that i need to run all the programs i use to edit .|||O O O O B-AP O B-AP O O O O O O O B-AP O O O O O
ilife is easily compatible with microsoft office so you can send and receive files from a pc .|||B-AP O O O O B-AP I-AP O O O O O O O O O O O
as a computer science student in college , i find that the portability , longevity , and ease of use of this computer make me shockingly want to do homework more ;|||O O O O O O O O O O O O B-AP O B-AP O O O O B-AP O O O O O O O O O O O O
again i sent it back and they replaced the motherboard and some fan inside .|||O O O O O O O O O B-AP O O B-AP O O
fully charged , the macbook pro can last about five hours unplugged .|||O B-AP O O O O O O O O O O O
even though it is much more expensive than many pc laptops , it is worth the price .|||O O O O O O O O O O O O O O O O B-AP O
i know there are way better laptops out there for the same price , and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls .|||O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O
for me , keys were starting to get stuck and would n't type very well .|||O O O B-AP O O O O O O O O O O O O
ca n't reinstall with standard os cd because of proprietary hardware drivers .|||O O O O B-AP I-AP I-AP O O B-AP I-AP I-AP O
there is a small red circle next to it with a x in the middle , and when i click on it it says , consider replacing your battery and it does not hold full charge .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O B-AP O
the computer was two weeks late in delivery because hp forgot to complete the required import paperwork .|||O O O O O O O B-AP O O O O O O O O O O
the first programm i switched on was a game for my children .|||O O B-AP O O O O O O O O O O
i have been very pleased with the performance of this laptop .|||O O O O O O O B-AP O O O O
i bought it for my mom and she reports that the battery life lasts all day for her , it 's very lightweight , and the response for the computing she 's doing internet focused activity , mail , research , etc is excellent ; .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O B-AP O O O O O O B-AP I-AP I-AP O O O O O O O O O O
its very nice and once you learn the features you will be so happy to have such a sophisticated computer .|||O O O O O O O O B-AP O O O O O O O O O O O O
it is sleek and lightweight and charges quickly when needed .|||O O O O O O B-AP O O O O
also you may need to charge it once a day , if for medium use every thing fast and easy with mac the size and look is the most feature that attracted me to it .|||O O O O O B-AP O O O O O O O O O O O O O O O O O B-AP O B-AP O O O B-AP O O O O O O
